Vx	V(q)	V(q_bar)
0.000000000000000e+00	1.771887e-08	1.800000e+00
1.000000000000000e-03	4.854364e-04	1.800000e+00
2.000000000000000e-03	9.712200e-04	1.800000e+00
3.000000000000000e-03	1.457095e-03	1.800000e+00
4.000000000000000e-03	1.943153e-03	1.800000e+00
5.000000000000000e-03	2.429394e-03	1.800000e+00
6.000000000000000e-03	2.915819e-03	1.800000e+00
7.000000000000000e-03	3.402426e-03	1.800000e+00
8.000000000000000e-03	3.889218e-03	1.800000e+00
9.000000000000001e-03	4.376193e-03	1.800000e+00
1.000000000000000e-02	4.863352e-03	1.800000e+00
1.100000000000000e-02	5.350695e-03	1.800000e+00
1.200000000000000e-02	5.838222e-03	1.800000e+00
1.300000000000000e-02	6.325934e-03	1.800000e+00
1.400000000000000e-02	6.813830e-03	1.800000e+00
1.500000000000000e-02	7.301911e-03	1.800000e+00
1.600000000000000e-02	7.790177e-03	1.800000e+00
1.700000000000000e-02	8.278628e-03	1.800000e+00
1.800000000000000e-02	8.767264e-03	1.800000e+00
1.900000000000000e-02	9.256085e-03	1.800000e+00
2.000000000000000e-02	9.745092e-03	1.800000e+00
2.100000000000000e-02	1.023428e-02	1.800000e+00
2.200000000000000e-02	1.072366e-02	1.800000e+00
2.300000000000000e-02	1.121323e-02	1.800000e+00
2.400000000000000e-02	1.170298e-02	1.800000e+00
2.500000000000000e-02	1.219292e-02	1.800000e+00
2.600000000000000e-02	1.268304e-02	1.800000e+00
2.700000000000000e-02	1.317335e-02	1.800000e+00
2.800000000000000e-02	1.366385e-02	1.800000e+00
2.900000000000000e-02	1.415453e-02	1.800000e+00
3.000000000000000e-02	1.464540e-02	1.800000e+00
3.100000000000000e-02	1.513646e-02	1.800000e+00
3.200000000000000e-02	1.562771e-02	1.800000e+00
3.300000000000000e-02	1.611914e-02	1.799999e+00
3.400000000000000e-02	1.661076e-02	1.799999e+00
3.500000000000000e-02	1.710257e-02	1.799999e+00
3.600000000000000e-02	1.759457e-02	1.799999e+00
3.700000000000000e-02	1.808676e-02	1.799999e+00
3.800000000000000e-02	1.857913e-02	1.799999e+00
3.900000000000000e-02	1.907169e-02	1.799999e+00
4.000000000000000e-02	1.956445e-02	1.799999e+00
4.100000000000000e-02	2.005739e-02	1.799999e+00
4.200000000000000e-02	2.055052e-02	1.799999e+00
4.300000000000000e-02	2.104384e-02	1.799999e+00
4.400000000000000e-02	2.153735e-02	1.799999e+00
4.500000000000000e-02	2.203105e-02	1.799999e+00
4.600000000000000e-02	2.252493e-02	1.799999e+00
4.700000000000000e-02	2.301901e-02	1.799999e+00
4.800000000000000e-02	2.351328e-02	1.799999e+00
4.900000000000000e-02	2.400774e-02	1.799999e+00
5.000000000000000e-02	2.450239e-02	1.799999e+00
5.100000000000000e-02	2.499723e-02	1.799999e+00
5.200000000000000e-02	2.549226e-02	1.799999e+00
5.300000000000000e-02	2.598748e-02	1.799999e+00
5.400000000000000e-02	2.648289e-02	1.799999e+00
5.500000000000000e-02	2.697849e-02	1.799999e+00
5.600000000000000e-02	2.747429e-02	1.799999e+00
5.700000000000000e-02	2.797028e-02	1.799999e+00
5.800000000000000e-02	2.846646e-02	1.799999e+00
5.900000000000000e-02	2.896282e-02	1.799999e+00
